t,cum_loss_algo,cum_loss_bfph,cum_regret,sqrt_t_bound_c1
270,-2.651980650343007,0.0,-2.651980650343007,16.431676725154983
271,-2.6617501668401817,0.0,-2.6617501668401817,16.46207763315433
272,-2.6690833800876135,0.0,-2.6690833800876135,16.492422502470642
273,-2.6735205771176704,0.0,-2.6735205771176704,16.522711641858304
274,-2.6817864949001873,0.0,-2.6817864949001873,16.55294535724685
275,-2.6917076520539833,0.0,-2.6917076520539833,16.583123951777
276,-2.703984401883672,0.0,-2.703984401883672,16.61324772583615
277,-2.725691540474949,0.0,-2.725691540474949,16.64331697709324
278,-2.733564325777539,0.0,-2.733564325777539,16.673332000533065
279,-2.744106480085815,0.0,-2.744106480085815,16.703293088490067
280,-2.75611985346,0.0,-2.75611985346,16.73320053068151
281,-2.762257357256341,0.0,-2.762257357256341,16.76305461424021
282,-2.7907513660588674,0.0,-2.7907513660588674,16.792855623746664
283,-2.7976731514920328,0.0,-2.7976731514920328,16.822603841260722
284,-2.8028219165867854,0.0,-2.8028219165867854,16.852299546352718
285,-2.810961450011856,0.0,-2.810961450011856,16.881943016134134
286,-2.8172508593879124,0.0,-2.8172508593879124,16.911534525287763
287,-2.8289570483991566,0.0,-2.8289570483991566,16.941074346097416
288,-2.8418351834828344,0.0,-2.8418351834828344,16.97056274847714
289,-2.8502642696673677,0.0,-2.8502642696673677,17.0
290,-2.8684433001919865,0.0,-2.8684433001919865,17.029386365926403
291,-2.8839744783549657,0.0,-2.8839744783549657,17.05872210923198
292,-2.896851409577718,-0.0007233580588914729,-2.896128051518826,17.08800749063506
293,-2.9080859742248295,0.0,-2.9080859742248295,17.11724276862369
294,-2.9424896366365574,0.0,-2.9424896366365574,17.146428199482248
295,-2.951581123935463,0.0,-2.951581123935463,17.175564037317667
296,-2.9608489097598265,0.0,-2.9608489097598265,17.204650534085253
297,-2.9694496879480874,-0.001754615463425499,-2.967695072484662,17.233687939614086
298,-2.9760411215065585,-0.002641863420755004,-2.9733992580858035,17.26267650163207
299,-2.983904526980207,-0.003767007493289694,-2.980137519486917,17.291616465790582
300,-2.991077536303195,-0.0012523195682908154,-2.989825216734904,17.320508075688775
301,-2.9983001610290634,0.0,-2.9983001610290634,17.349351572897472
302,-3.0039338949363876,0.0,-3.0039338949363876,17.378147196982766
303,-3.0180055213817316,0.0,-3.0180055213817316,17.406895185529212
304,-3.0251950851069216,0.0,-3.0251950851069216,17.435595774162696
305,-3.0213305980138156,0.0,-3.0213305980138156,17.46424919657298
306,-3.025991610280739,0.0,-3.025991610280739,17.4928556845359
307,-3.0337971234851646,0.0,-3.0337971234851646,17.52141546793523
308,-3.0385409197145066,0.0,-3.0385409197145066,17.549928774784245
309,-3.047859160049063,0.0,-3.047859160049063,17.578395831246947
310,-3.053982254692246,0.0,-3.053982254692246,17.60681686165901
311,-3.0702110195400025,0.0,-3.0702110195400025,17.635192088548397
312,-3.0886543184582598,0.0,-3.0886543184582598,17.663521732655695
313,-3.1029318981719927,0.0,-3.1029318981719927,17.69180601295413
314,-3.1084625653150035,0.0,-3.1084625653150035,17.72004514666935
315,-3.1193665689033523,0.0,-3.1193665689033523,17.74823934929885
316,-3.13305634283743,0.0,-3.13305634283743,17.776388834631177
317,-3.142595538093877,0.0,-3.142595538093877,17.804493814764857
318,-3.162546846661281,0.0,-3.162546846661281,17.832554500127006
319,-3.17664368618077,-0.0022313531004383076,-3.1744123330803315,17.86057109949175
320,-3.184764432345817,-0.0012274482738348672,-3.183536984071982,17.88854381999832
321,-3.204021382022036,-0.003973337350665131,-3.200048044671371,17.916472867168917
322,-3.2215759347507147,-0.010166490330922522,-3.2114094444197923,17.944358444926362
323,-3.2277096455970242,-0.009124103079711177,-3.218585542517313,17.97220075561143
324,-3.2369147832223444,-0.0074164845086899245,-3.2294982987136542,18.0
325,-3.2512654775222845,-0.010807713077620927,-3.2404577644446637,18.027756377319946
326,-3.2584314216206756,-0.010266017585289078,-3.2481654040353867,18.05547008526779
327,-3.2658642517486447,-0.007214498216170767,-3.258649753532474,18.083141320025124
328,-3.2726644961013234,-0.007925717511527807,-3.2647387785897957,18.110770276274835
329,-3.2811817726473422,-0.006727098373210805,-3.2744546742741316,18.138357147217054
330,-3.2902197119199186,-0.006869295045063604,-3.283350416874855,18.16590212458495
331,-3.295043799981748,-0.003468285453536342,-3.291575514528212,18.193405398660254
332,-3.299594314984361,-0.001208771628841737,-3.2983855433555194,18.2208671582886
333,-3.3064520214182713,-0.0017723291237113185,-3.30467969229456,18.24828759089466
334,-3.3148633400736593,-0.0035401659110536102,-3.311323174162606,18.275666882497067
335,-3.318599751593204,-0.0013484713895406666,-3.317251280203663,18.303005217723125
336,-3.3321643140115254,0.0,-3.3321643140115254,18.33030277982336
337,-3.3351227095452947,0.0,-3.3351227095452947,18.35755975068582
338,-3.3494651211012108,0.0,-3.3494651211012108,18.384776310850235
339,-3.3566994493140223,0.0,-3.3566994493140223,18.411952639521967
340,-3.3675332264500293,-0.002565767760978256,-3.3649674586890512,18.439088914585774
341,-3.376878202491777,-0.002266458256121353,-3.374611744235656,18.466185312619388
342,-3.3846757461467316,-0.001211575353335106,-3.3834641707933963,18.49324200890693
343,-3.3901823564333764,0.0,-3.3901823564333764,18.520259177452136
344,-3.397643267069114,0.0,-3.397643267069114,18.547236990991408
345,-3.4081492456884157,0.0,-3.4081492456884157,18.57417562100671
346,-3.4219572466323567,0.0,-3.4219572466323567,18.601075237738275
347,-3.4325492548100227,0.0,-3.4325492548100227,18.627936010197157
348,-3.435346914790075,0.0,-3.435346914790075,18.65475810617763
349,-3.4483633109868324,0.0,-3.4483633109868324,18.681541692269406
350,-3.463885966481251,0.0,-3.463885966481251,18.708286933869708
351,-3.4772932693390572,0.0,-3.4772932693390572,18.734993995195193
